∞¸√¯º“∏Ì,∞¸√¯Ω√∞£,¿ßµµ,∞Êµµ,¡∂¿ß(cm),ºˆø¬(°…),ø∞∫–(PSU),¿Ø¿«∆ƒ∞Ì(m),¿Ø¿«∆ƒ¡÷±‚(sec),√÷¥Î∆ƒ∞Ì(m),√÷¥Î∆ƒ¡÷±‚(sec),«≥º”(m/s),,«≥«‚(deg),±‚ø¬(°…),±‚æ–(hPa),Ω√¡§(m)
¿Œ√µ,2022-12-01 0:13,37.451944,126.592222,589,12.1,29.3,-,-,-,-,8.5,∫œ,352,-4.3,1033.2,-
¿Œ√µ,2022-12-01 0:14,37.451944,126.592222,588,12,29.3,-,-,-,-,9.1,∫œ,359,-4.3,1033.4,-
¿Œ√µ,2022-12-01 0:15,37.451944,126.592222,586,12,29.3,-,-,-,-,9.5,∫œ,3,-4.3,1033.3,-
¿Œ√µ,2022-12-01 0:16,37.451944,126.592222,585,12.1,29.3,-,-,-,-,8.6,∫œ,3,-4.2,1033.4,-
¿Œ√µ,2022-12-01 0:17,37.451944,126.592222,583,12.1,29.3,-,-,-,-,7.2,∫œ,359,-4.2,1033.2,-
¿Œ√µ,2022-12-01 0:18,37.451944,126.592222,582,12.1,29.3,-,-,-,-,9,∫œ,356,-4.3,1033.2,-
¿Œ√µ,2022-12-01 0:19,37.451944,126.592222,580,12.1,29.2,-,-,-,-,8.6,∫œ∫œº≠,346,-4.3,1033.2,-
¿Œ√µ,2022-12-01 0:20,37.451944,126.592222,579,12.1,29.2,-,-,-,-,8.2,∫œ,350,-4.4,1033.2,-
¿Œ√µ,2022-12-01 0:21,37.451944,126.592222,577,12.1,29.3,-,-,-,-,7.5,∫œ∫œº≠,346,-4.5,1033.2,-
¿Œ√µ,2022-12-01 0:22,37.451944,126.592222,576,12.1,29.2,-,-,-,-,8.4,∫œ,349,-4.7,1033.2,-
¿Œ√µ,2022-12-01 0:23,37.451944,126.592222,574,12.1,29.2,-,-,-,-,7.9,∫œ,355,-4.8,1033.3,-
¿Œ√µ,2022-12-01 0:24,37.451944,126.592222,573,12.1,29.2,-,-,-,-,6.6,∫œ∫œµø,16,-4.7,1033.5,-
¿Œ√µ,2022-12-01 0:25,37.451944,126.592222,571,12.1,29.2,-,-,-,-,7.9,∫œ,7,-4.5,1033.5,-
¿Œ√µ,2022-12-01 0:26,37.451944,126.592222,569,12.1,29.2,-,-,-,-,8.1,∫œ,0,-4.3,1033.5,-
¿Œ√µ,2022-12-01 0:27,37.451944,126.592222,568,12.1,29.2,-,-,-,-,7.5,∫œ,9,-4.3,1033.4,-
¿Œ√µ,2022-12-01 0:28,37.451944,126.592222,566,12.1,29.2,-,-,-,-,7.9,∫œ∫œµø,14,-4.3,1033.5,-
¿Œ√µ,2022-12-01 0:29,37.451944,126.592222,565,12.1,29.2,-,-,-,-,7.1,∫œ,5,-4.4,1033.3,-
¿Œ√µ,2022-12-01 0:30,37.451944,126.592222,563,12.1,29.2,-,-,-,-,5.8,∫œ∫œµø,21,-4.4,1033.4,-
¿Œ√µ,2022-12-01 0:31,37.451944,126.592222,561,12.1,29.2,-,-,-,-,6.9,∫œ∫œµø,18,-4.3,1033.3,-
¿Œ√µ,2022-12-01 0:32,37.451944,126.592222,560,12.1,29.2,-,-,-,-,7.2,∫œ,8,-4.3,1033.4,-
¿Œ√µ,2022-12-01 0:33,37.451944,126.592222,558,12.1,29.2,-,-,-,-,6.6,∫œ∫œµø,18,-4.2,1033.4,-
¿Œ√µ,2022-12-01 0:34,37.451944,126.592222,556,12.1,29.2,-,-,-,-,7,∫œ∫œµø,14,-4.2,1033.4,-
¿Œ√µ,2022-12-01 0:35,37.451944,126.592222,555,12.1,29.2,-,-,-,-,6.2,∫œ∫œµø,19,-4.2,1033.5,-
¿Œ√µ,2022-12-01 0:36,37.451944,126.592222,553,12.1,29.2,-,-,-,-,6.3,∫œ,358,-4.2,1033.6,-
¿Œ√µ,2022-12-01 0:37,37.451944,126.592222,551,12.1,29.2,-,-,-,-,7.5,∫œ∫œµø,14,-4.3,1033.5,-
¿Œ√µ,2022-12-01 0:38,37.451944,126.592222,550,12.1,29.2,-,-,-,-,7.5,∫œ∫œµø,29,-4.3,1033.6,-
¿Œ√µ,2022-12-01 0:39,37.451944,126.592222,548,12.1,29.2,-,-,-,-,6.7,∫œ∫œµø,23,-4.3,1033.5,-
¿Œ√µ,2022-12-01 0:40,37.451944,126.592222,547,12.1,29.2,-,-,-,-,8,∫œ,3,-4.3,1033.4,-
¿Œ√µ,2022-12-01 0:41,37.451944,126.592222,545,12.1,29.2,-,-,-,-,8.1,∫œ∫œµø,13,-4.3,1033.6,-
¿Œ√µ,2022-12-01 0:42,37.451944,126.592222,544,12,29.3,-,-,-,-,7.2,∫œ∫œµø,18,-4.3,1033.6,-
¿Œ√µ,2022-12-01 0:43,37.451944,126.592222,542,12,29.2,-,-,-,-,7.4,∫œ,9,-4.3,1033.6,-
¿Œ√µ,2022-12-01 0:44,37.451944,126.592222,541,12.1,29.2,-,-,-,-,6.7,∫œ,9,-4.2,1033.7,-
¿Œ√µ,2022-12-01 0:45,37.451944,126.592222,539,12,29.2,-,-,-,-,6.2,∫œ,6,-4.1,1033.6,-
¿Œ√µ,2022-12-01 0:46,37.451944,126.592222,537,12.1,29.2,-,-,-,-,5.9,∫œ∫œµø,17,-4.1,1033.6,-
¿Œ√µ,2022-12-01 0:47,37.451944,126.592222,536,12.1,29.2,-,-,-,-,7.1,∫œ,4,-4.2,1033.5,-
¿Œ√µ,2022-12-01 0:48,37.451944,126.592222,534,12.1,29.2,-,-,-,-,5.9,∫œ∫œµø,24,-4.4,1033.6,-
¿Œ√µ,2022-12-01 0:49,37.451944,126.592222,533,12.1,29.2,-,-,-,-,6.2,∫œ∫œµø,26,-4.4,1033.6,-
¿Œ√µ,2022-12-01 0:50,37.451944,126.592222,531,12.1,29.2,-,-,-,-,5.9,∫œµø,35,-4.5,1033.6,-
¿Œ√µ,2022-12-01 0:51,37.451944,126.592222,530,12.1,29.2,-,-,-,-,6.2,∫œ∫œµø,25,-4.6,1033.7,-
¿Œ√µ,2022-12-01 0:52,37.451944,126.592222,528,12.1,29.2,-,-,-,-,6.1,∫œ∫œµø,24,-4.6,1033.8,-
¿Œ√µ,2022-12-01 0:53,37.451944,126.592222,527,12.1,29.2,-,-,-,-,5.3,∫œ∫œµø,15,-4.7,1033.8,-
¿Œ√µ,2022-12-01 0:54,37.451944,126.592222,525,12.1,29.3,-,-,-,-,4.5,∫œ∫œµø,24,-4.7,1033.8,-
¿Œ√µ,2022-12-01 0:55,37.451944,126.592222,523,12,29.3,-,-,-,-,5.4,∫œ∫œµø,20,-4.7,1033.8,-
¿Œ√µ,2022-12-01 0:56,37.451944,126.592222,522,12,29.3,-,-,-,-,6.6,∫œ∫œµø,28,-4.7,1033.8,-
¿Œ√µ,2022-12-01 0:57,37.451944,126.592222,520,12,29.2,-,-,-,-,6.8,∫œ∫œµø,31,-4.8,1033.7,-
¿Œ√µ,2022-12-01 0:58,37.451944,126.592222,519,12.1,29.2,-,-,-,-,5.8,∫œ∫œµø,32,-4.8,1033.7,-
¿Œ√µ,2022-12-01 0:59,37.451944,126.592222,517,12,29.3,-,-,-,-,5.5,∫œµø,36,-4.9,1033.7,-
¿Œ√µ,2022-12-01 1:00,37.451944,126.592222,516,12,29.3,-,-,-,-,6.9,∫œ∫œµø,19,-4.9,1033.7,-
¿Œ√µ,2022-12-01 1:01,37.451944,126.592222,514,12,29.3,-,-,-,-,6.8,∫œ∫œµø,31,-4.9,1033.7,-
¿Œ√µ,2022-12-01 1:02,37.451944,126.592222,512,12,29.3,-,-,-,-,6.8,∫œ∫œµø,26,-4.8,1033.7,-
¿Œ√µ,2022-12-01 1:03,37.451944,126.592222,511,12,29.3,-,-,-,-,6.2,∫œ∫œµø,23,-4.9,1033.7,-
¿Œ√µ,2022-12-01 1:04,37.451944,126.592222,509,12,29.3,-,-,-,-,7.2,∫œ∫œµø,26,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:05,37.451944,126.592222,508,12,29.3,-,-,-,-,7.2,∫œµø,35,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:06,37.451944,126.592222,506,12,29.2,-,-,-,-,6,∫œ∫œµø,24,-5,1033.6,-
¿Œ√µ,2022-12-01 1:07,37.451944,126.592222,504,12,29.2,-,-,-,-,5.8,∫œ∫œµø,24,-5,1033.6,-
¿Œ√µ,2022-12-01 1:08,37.451944,126.592222,503,12,29.3,-,-,-,-,5.9,∫œ,11,-4.9,1033.5,-
¿Œ√µ,2022-12-01 1:09,37.451944,126.592222,501,12,29.3,-,-,-,-,5.4,∫œ,3,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:10,37.451944,126.592222,500,12,29.3,-,-,-,-,5,∫œ∫œµø,17,-4.9,1033.7,-
¿Œ√µ,2022-12-01 1:11,37.451944,126.592222,498,12,29.3,-,-,-,-,5.2,∫œ,2,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:12,37.451944,126.592222,496,12,29.2,-,-,-,-,5.6,∫œ∫œµø,15,-4.9,1033.5,-
¿Œ√µ,2022-12-01 1:13,37.451944,126.592222,495,12,29.3,-,-,-,-,5.7,∫œ,6,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:14,37.451944,126.592222,493,12,29.3,-,-,-,-,6,∫œ∫œµø,17,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:15,37.451944,126.592222,492,12,29.3,-,-,-,-,5.6,∫œ∫œµø,23,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:16,37.451944,126.592222,490,12,29.3,-,-,-,-,5.5,∫œ∫œµø,22,-4.9,1033.5,-
¿Œ√µ,2022-12-01 1:17,37.451944,126.592222,489,12,29.3,-,-,-,-,6,∫œ∫œµø,21,-4.9,1033.5,-
¿Œ√µ,2022-12-01 1:18,37.451944,126.592222,487,12,29.3,-,-,-,-,6.6,∫œ∫œµø,24,-4.9,1033.5,-
¿Œ√µ,2022-12-01 1:19,37.451944,126.592222,485,12,29.3,-,-,-,-,6,∫œ,7,-4.8,1033.6,-
¿Œ√µ,2022-12-01 1:20,37.451944,126.592222,484,12,29.3,-,-,-,-,7.4,∫œ∫œµø,18,-4.7,1033.6,-
¿Œ√µ,2022-12-01 1:21,37.451944,126.592222,482,12,29.3,-,-,-,-,6.8,∫œ,11,-4.7,1033.5,-
¿Œ√µ,2022-12-01 1:22,37.451944,126.592222,481,12,29.3,-,-,-,-,7.4,∫œ,2,-4.7,1033.5,-
¿Œ√µ,2022-12-01 1:23,37.451944,126.592222,479,12,29.3,-,-,-,-,7.2,∫œ,4,-4.7,1033.5,-
¿Œ√µ,2022-12-01 1:24,37.451944,126.592222,477,12,29.3,-,-,-,-,7.8,∫œ,2,-4.7,1033.6,-
¿Œ√µ,2022-12-01 1:25,37.451944,126.592222,476,12,29.3,-,-,-,-,7.8,∫œ,1,-4.8,1033.5,-
¿Œ√µ,2022-12-01 1:26,37.451944,126.592222,474,12,29.3,-,-,-,-,8.7,∫œ,357,-4.9,1033.3,-
¿Œ√µ,2022-12-01 1:27,37.451944,126.592222,473,12,29.2,-,-,-,-,6.9,∫œ,1,-5,1033.6,-
¿Œ√µ,2022-12-01 1:28,37.451944,126.592222,471,12,29.2,-,-,-,-,7.2,∫œ∫œµø,13,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:29,37.451944,126.592222,469,12,29.3,-,-,-,-,8.3,∫œ,6,-4.8,1033.6,-
¿Œ√µ,2022-12-01 1:30,37.451944,126.592222,468,12,29.3,-,-,-,-,7.2,∫œ,3,-4.8,1033.6,-
¿Œ√µ,2022-12-01 1:31,37.451944,126.592222,466,12,29.2,-,-,-,-,7.6,∫œ,6,-4.8,1033.6,-
¿Œ√µ,2022-12-01 1:32,37.451944,126.592222,465,12.1,29.2,-,-,-,-,8.3,∫œ∫œµø,13,-4.9,1033.4,-
¿Œ√µ,2022-12-01 1:33,37.451944,126.592222,463,12.1,29.2,-,-,-,-,6.9,∫œ,6,-4.8,1033.6,-
¿Œ√µ,2022-12-01 1:34,37.451944,126.592222,461,12.1,29.3,-,-,-,-,6.2,∫œ∫œµø,18,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:35,37.451944,126.592222,460,12.1,29.2,-,-,-,-,6.1,∫œ,9,-5,1033.5,-
¿Œ√µ,2022-12-01 1:36,37.451944,126.592222,458,12.1,29.3,-,-,-,-,7.1,∫œ∫œµø,14,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:37,37.451944,126.592222,457,12.1,29.2,-,-,-,-,6.5,∫œ∫œµø,12,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:38,37.451944,126.592222,455,12.1,29.2,-,-,-,-,5.8,∫œ,7,-4.9,1033.6,-
¿Œ√µ,2022-12-01 1:39,37.451944,126.592222,453,12.1,29.2,-,-,-,-,5.7,∫œ∫œµø,20,-4.9,1033.7,-
¿Œ√µ,2022-12-01 1:40,37.451944,126.592222,452,12.1,29.2,-,-,-,-,6.9,∫œ,3,-4.8,1033.5,-
¿Œ√µ,2022-12-01 1:41,37.451944,126.592222,450,12.1,29.3,-,-,-,-,7,∫œ,3,-4.8,1033.5,-
¿Œ√µ,2022-12-01 1:42,37.451944,126.592222,449,12.1,29.2,-,-,-,-,7.8,∫œ,5,-4.8,1033.5,-
¿Œ√µ,2022-12-01 1:43,37.451944,126.592222,447,12.1,29.2,-,-,-,-,6.8,∫œ,7,-4.8,1033.7,-
¿Œ√µ,2022-12-01 1:44,37.451944,126.592222,446,12.1,29.2,-,-,-,-,7.5,∫œ,1,-4.8,1033.6,-
¿Œ√µ,2022-12-01 1:45,37.451944,126.592222,444,12.1,29.2,-,-,-,-,8.4,∫œ∫œº≠,348,-4.9,1033.5,-
¿Œ√µ,2022-12-01 1:46,37.451944,126.592222,442,12.1,29.2,-,-,-,-,6.6,∫œ,352,-5,1033.6,-
¿Œ√µ,2022-12-01 1:47,37.451944,126.592222,441,12.1,29.2,-,-,-,-,6.1,∫œ,350,-5.1,1033.7,-
¿Œ√µ,2022-12-01 1:48,37.451944,126.592222,439,12.1,29.2,-,-,-,-,7.6,∫œ∫œº≠,341,-5.2,1033.4,-
¿Œ√µ,2022-12-01 1:49,37.451944,126.592222,438,12.1,29.2,-,-,-,-,7.5,∫œ,2,-5.3,1033.5,-
¿Œ√µ,2022-12-01 1:50,37.451944,126.592222,436,12.1,29.2,-,-,-,-,5.8,∫œ,3,-5.4,1033.6,-
¿Œ√µ,2022-12-01 1:51,37.451944,126.592222,434,12.1,29.2,-,-,-,-,7.3,∫œ,357,-5.3,1033.4,-
¿Œ√µ,2022-12-01 1:52,37.451944,126.592222,433,12.1,29.2,-,-,-,-,7.7,∫œ,352,-5.3,1033.6,-
¿Œ√µ,2022-12-01 1:53,37.451944,126.592222,431,12.1,29.2,-,-,-,-,7.4,∫œ,353,-5.2,1033.5,-
¿Œ√µ,2022-12-01 1:54,37.451944,126.592222,430,12.1,29.2,-,-,-,-,7,∫œ,0,-5.2,1033.5,-
¿Œ√µ,2022-12-01 1:55,37.451944,126.592222,428,12.1,29.2,-,-,-,-,8.3,∫œ,7,-5.2,1033.5,-
¿Œ√µ,2022-12-01 1:56,37.451944,126.592222,427,12.1,29.2,-,-,-,-,5.7,∫œ,8,-5.1,1033.6,-
¿Œ√µ,2022-12-01 1:57,37.451944,126.592222,425,12.1,29.2,-,-,-,-,6.4,∫œ∫œµø,13,-5.1,1033.6,-
¿Œ√µ,2022-12-01 1:58,37.451944,126.592222,424,12.1,29.2,-,-,-,-,7.5,∫œ,7,-5,1033.5,-
¿Œ√µ,2022-12-01 1:59,37.451944,126.592222,422,12.1,29.2,-,-,-,-,7.4,∫œ,3,-5,1033.4,-
¿Œ√µ,2022-12-01 2:00,37.451944,126.592222,421,12.1,29.2,-,-,-,-,6.9,∫œ,358,-5,1033.5,-
¿Œ√µ,2022-12-01 2:01,37.451944,126.592222,419,12.1,29.2,-,-,-,-,6,∫œ∫œµø,12,-5.1,1033.6,-
¿Œ√µ,2022-12-01 2:02,37.451944,126.592222,418,12.1,29.2,-,-,-,-,7.8,∫œ,5,-5.1,1033.6,-
¿Œ√µ,2022-12-01 2:03,37.451944,126.592222,416,12.1,29.2,-,-,-,-,6.2,∫œ,0,-5.1,1033.6,-
¿Œ√µ,2022-12-01 2:04,37.451944,126.592222,415,12.1,29.2,-,-,-,-,6,∫œ∫œµø,13,-5.1,1033.7,-
¿Œ√µ,2022-12-01 2:05,37.451944,126.592222,413,12.1,29.2,-,-,-,-,5.8,∫œ∫œµø,12,-5.1,1033.7,-
¿Œ√µ,2022-12-01 2:06,37.451944,126.592222,412,12.1,29.2,-,-,-,-,5.9,∫œ,3,-5.2,1033.6,-
¿Œ√µ,2022-12-01 2:07,37.451944,126.592222,410,12.1,29.2,-,-,-,-,5.3,∫œ,359,-5.2,1033.6,-
¿Œ√µ,2022-12-01 2:08,37.451944,126.592222,409,12.1,29.2,-,-,-,-,5.1,∫œ∫œµø,14,-5.2,1033.7,-
¿Œ√µ,2022-12-01 2:09,37.451944,126.592222,407,12.1,29.1,-,-,-,-,6.5,∫œ,10,-5.2,1033.6,-
¿Œ√µ,2022-12-01 2:10,37.451944,126.592222,406,12.1,29.2,-,-,-,-,6,∫œ∫œµø,22,-5.2,1033.7,-
¿Œ√µ,2022-12-01 2:11,37.451944,126.592222,404,12.1,29.2,-,-,-,-,6.1,∫œ∫œµø,26,-5.2,1033.8,-
¿Œ√µ,2022-12-01 2:12,37.451944,126.592222,403,12.1,29.2,-,-,-,-,4.1,∫œ∫œµø,17,-5.2,1033.7,-
¿Œ√µ,2022-12-01 2:13,37.451944,126.592222,401,12.1,29.2,-,-,-,-,6.4,∫œ,10,-5.2,1033.7,-
¿Œ√µ,2022-12-01 2:14,37.451944,126.592222,400,12.1,29.2,-,-,-,-,6.3,∫œ∫œµø,12,-5.1,1033.7,-
¿Œ√µ,2022-12-01 2:15,37.451944,126.592222,398,12.1,29.2,-,-,-,-,6.1,∫œ,7,-5.1,1033.8,-
¿Œ√µ,2022-12-01 2:16,37.451944,126.592222,397,12.1,29.2,-,-,-,-,4.8,∫œ∫œµø,20,-5,1033.8,-
¿Œ√µ,2022-12-01 2:17,37.451944,126.592222,395,12.1,29.2,-,-,-,-,5.5,∫œ,7,-5,1033.7,-
¿Œ√µ,2022-12-01 2:18,37.451944,126.592222,394,12.1,29.2,-,-,-,-,7.4,∫œ,353,-5,1033.6,-
¿Œ√µ,2022-12-01 2:19,37.451944,126.592222,392,12.1,29.2,-,-,-,-,6.5,∫œ,2,-5.1,1033.6,-
¿Œ√µ,2022-12-01 2:20,37.451944,126.592222,390,12.1,29.2,-,-,-,-,5.1,∫œ,352,-5.2,1033.6,-
¿Œ√µ,2022-12-01 2:21,37.451944,126.592222,389,12.1,29.2,-,-,-,-,7.2,∫œ,6,-5.3,1033.6,-
¿Œ√µ,2022-12-01 2:22,37.451944,126.592222,387,12.1,29.2,-,-,-,-,6.1,∫œ∫œµø,22,-5.3,1033.7,-
¿Œ√µ,2022-12-01 2:23,37.451944,126.592222,386,12.1,29.2,-,-,-,-,4.8,∫œ,359,-5.2,1033.8,-
¿Œ√µ,2022-12-01 2:24,37.451944,126.592222,384,12.1,29.2,-,-,-,-,5.7,∫œ∫œµø,21,-5.2,1033.7,-
¿Œ√µ,2022-12-01 2:25,37.451944,126.592222,383,12.1,29.2,-,-,-,-,5.9,∫œ,9,-5.2,1033.7,-
¿Œ√µ,2022-12-01 2:26,37.451944,126.592222,381,12.1,29.2,-,-,-,-,4.8,∫œ,4,-5.2,1033.7,-
¿Œ√µ,2022-12-01 2:27,37.451944,126.592222,380,12.1,29.2,-,-,-,-,5,∫œ,7,-5.2,1033.7,-
¿Œ√µ,2022-12-01 2:28,37.451944,126.592222,378,12.1,29.2,-,-,-,-,4.3,∫œ∫œµø,31,-5.2,1033.7,-
¿Œ√µ,2022-12-01 2:29,37.451944,126.592222,377,12.1,29.2,-,-,-,-,3.4,∫œµø,37,-5.3,1033.7,-
¿Œ√µ,2022-12-01 2:30,37.451944,126.592222,375,12.1,29.2,-,-,-,-,5.1,∫œ∫œµø,24,-5.3,1033.7,-
¿Œ√µ,2022-12-01 2:31,37.451944,126.592222,373,12.1,29.2,-,-,-,-,3.8,∫œ∫œµø,17,-5.3,1033.7,-
¿Œ√µ,2022-12-01 2:32,37.451944,126.592222,372,12.1,29.2,-,-,-,-,4.7,∫œ∫œµø,31,-5.3,1033.7,-
¿Œ√µ,2022-12-01 2:33,37.451944,126.592222,371,12.1,29.2,-,-,-,-,4.8,∫œ∫œµø,27,-5.3,1033.7,-
¿Œ√µ,2022-12-01 2:34,37.451944,126.592222,369,12.1,29.2,-,-,-,-,5,∫œ∫œµø,18,-5.4,1033.6,-
¿Œ√µ,2022-12-01 2:35,37.451944,126.592222,368,12.1,29.2,-,-,-,-,5.7,∫œ∫œµø,23,-5.4,1033.8,-
¿Œ√µ,2022-12-01 2:36,37.451944,126.592222,366,12.1,29.2,-,-,-,-,5.6,∫œ∫œµø,23,-5.4,1033.8,-
¿Œ√µ,2022-12-01 2:37,37.451944,126.592222,364,12.1,29.2,-,-,-,-,4.5,∫œ∫œµø,20,-5.4,1033.8,-
¿Œ√µ,2022-12-01 2:38,37.451944,126.592222,363,12.1,29.2,-,-,-,-,5.1,∫œ∫œµø,32,-5.4,1033.6,-
¿Œ√µ,2022-12-01 2:39,37.451944,126.592222,362,12.1,29.2,-,-,-,-,5.8,∫œµø,35,-5.4,1033.7,-
¿Œ√µ,2022-12-01 2:40,37.451944,126.592222,360,12.1,29.2,-,-,-,-,6.1,∫œ∫œµø,30,-5.4,1033.6,-
¿Œ√µ,2022-12-01 2:41,37.451944,126.592222,359,12.1,29.2,-,-,-,-,5.5,∫œ∫œµø,19,-5.4,1033.6,-
¿Œ√µ,2022-12-01 2:42,37.451944,126.592222,357,12.1,29.2,-,-,-,-,5.3,∫œ∫œµø,30,-5.4,1033.6,-
¿Œ√µ,2022-12-01 2:43,37.451944,126.592222,356,12.1,29.2,-,-,-,-,6.1,∫œµø,38,-5.5,1033.5,-
¿Œ√µ,2022-12-01 2:44,37.451944,126.592222,354,12.1,29.2,-,-,-,-,4.6,∫œ∫œµø,33,-5.5,1033.6,-
¿Œ√µ,2022-12-01 2:45,37.451944,126.592222,352,12.1,29.2,-,-,-,-,5.3,∫œ∫œµø,27,-5.5,1033.6,-
¿Œ√µ,2022-12-01 2:46,37.451944,126.592222,351,12.1,29.2,-,-,-,-,4.9,∫œ∫œµø,32,-5.5,1033.6,-
¿Œ√µ,2022-12-01 2:47,37.451944,126.592222,350,12.1,29.2,-,-,-,-,4.6,∫œ∫œµø,24,-5.5,1033.5,-
¿Œ√µ,2022-12-01 2:48,37.451944,126.592222,348,12.1,29.2,-,-,-,-,4.8,∫œ∫œµø,31,-5.5,1033.5,-
¿Œ√µ,2022-12-01 2:49,37.451944,126.592222,347,12.1,29.2,-,-,-,-,4.7,∫œ∫œµø,33,-5.5,1033.4,-
¿Œ√µ,2022-12-01 2:50,37.451944,126.592222,345,12.1,29.2,-,-,-,-,5.9,∫œ∫œµø,26,-5.6,1033.6,-
¿Œ√µ,2022-12-01 2:51,37.451944,126.592222,344,12.1,29.2,-,-,-,-,5,∫œ∫œµø,29,-5.6,1033.6,-
¿Œ√µ,2022-12-01 2:52,37.451944,126.592222,343,12.1,29.2,-,-,-,-,5.8,∫œ∫œµø,24,-5.6,1033.5,-
¿Œ√µ,2022-12-01 2:53,37.451944,126.592222,341,12.1,29.2,-,-,-,-,5.7,∫œ∫œµø,27,-5.6,1033.6,-
¿Œ√µ,2022-12-01 2:54,37.451944,126.592222,340,12.1,29.2,-,-,-,-,5,∫œ∫œµø,32,-5.6,1033.5,-
¿Œ√µ,2022-12-01 2:55,37.451944,126.592222,338,12.1,29.2,-,-,-,-,5.5,∫œµø,35,-5.6,1033.5,-
¿Œ√µ,2022-12-01 2:56,37.451944,126.592222,337,12.1,29.2,-,-,-,-,6,∫œ∫œµø,27,-5.6,1033.6,-
¿Œ√µ,2022-12-01 2:57,37.451944,126.592222,336,12.1,29.2,-,-,-,-,4.8,∫œ∫œµø,26,-5.6,1033.6,-
¿Œ√µ,2022-12-01 2:58,37.451944,126.592222,334,12.1,29.2,-,-,-,-,4.9,∫œ∫œµø,31,-5.6,1033.6,-
¿Œ√µ,2022-12-01 2:59,37.451944,126.592222,333,12.1,29.2,-,-,-,-,5.9,∫œ∫œµø,31,-5.5,1033.6,-
¿Œ√µ,2022-12-01 3:00,37.451944,126.592222,332,12.1,29.2,-,-,-,-,6.4,∫œ∫œµø,23,-5.5,1033.6,-
¿Œ√µ,2022-12-01 3:01,37.451944,126.592222,330,12.1,29.2,-,-,-,-,6.2,∫œ∫œµø,32,-5.6,1033.6,-
¿Œ√µ,2022-12-01 3:02,37.451944,126.592222,329,12.1,29.2,-,-,-,-,5.6,∫œµø,36,-5.6,1033.6,-
¿Œ√µ,2022-12-01 3:03,37.451944,126.592222,328,12.1,29.2,-,-,-,-,5.3,∫œ∫œµø,28,-5.6,1033.7,-
¿Œ√µ,2022-12-01 3:04,37.451944,126.592222,326,12.1,29.2,-,-,-,-,5.7,∫œ∫œµø,20,-5.6,1033.7,-
