包螟家疙,包螟矫埃,困档,版档,炼困(cm),荐柯(∩),堪盒(PSU),蜡狼颇绊(m),蜡狼颇林扁(sec),弥措颇绊(m),弥措颇林扁(sec),浅加(m/s),,浅氢(deg),扁柯(∩),扁拘(hPa),矫沥(m)
傣利档,2022-11-30 0:58,37.226333,126.156556,326,-,-,-,-,-,-,2.3,辑,266,-1.5,1029.1,-
傣利档,2022-11-30 0:59,37.226333,126.156556,324,-,-,-,-,-,-,3.2,辑合辑,290,-1.4,1029.1,-
傣利档,2022-11-30 1:00,37.226333,126.156556,323,-,-,-,-,-,-,3.2,合合辑,341,-1.4,1029.1,-
傣利档,2022-11-30 1:01,37.226333,126.156556,323,-,-,-,-,-,-,2.6,辑巢辑,241,-1.4,1029.1,-
傣利档,2022-11-30 1:02,37.226333,126.156556,319,-,-,-,-,-,-,1.9,辑合辑,288,-1.3,1029.1,-
傣利档,2022-11-30 1:03,37.226333,126.156556,317,-,-,-,-,-,-,2.9,辑合辑,302,-1.3,1029.1,-
傣利档,2022-11-30 1:04,37.226333,126.156556,315,-,-,-,-,-,-,4.4,合合辑,330,-1.3,1029.2,-
傣利档,2022-11-30 1:05,37.226333,126.156556,314,-,-,-,-,-,-,5.8,合,357,-1.3,1029.2,-
傣利档,2022-11-30 1:06,37.226333,126.156556,312,-,-,-,-,-,-,6.2,合合辑,336,-1.3,1029.2,-
傣利档,2022-11-30 1:07,37.226333,126.156556,312,-,-,-,-,-,-,3.5,辑,272,-1.4,1029.1,-
傣利档,2022-11-30 1:08,37.226333,126.156556,309,-,-,-,-,-,-,7.5,辑合辑,299,-1.4,1029,-
傣利档,2022-11-30 1:09,37.226333,126.156556,308,-,-,-,-,-,-,3.6,辑合辑,302,-1.5,1029.1,-
傣利档,2022-11-30 1:10,37.226333,126.156556,306,-,-,-,-,-,-,4.1,辑合辑,287,-1.6,1029,-
傣利档,2022-11-30 1:11,37.226333,126.156556,303,-,-,-,-,-,-,5.3,辑合辑,291,-1.6,1029.1,-
傣利档,2022-11-30 1:12,37.226333,126.156556,301,-,-,-,-,-,-,5.7,辑合辑,283,-1.6,1029.1,-
傣利档,2022-11-30 1:13,37.226333,126.156556,299,-,-,-,-,-,-,4.3,辑合辑,288,-1.6,1029.2,-
傣利档,2022-11-30 1:14,37.226333,126.156556,299,-,-,-,-,-,-,4.4,辑合辑,285,-1.5,1029.2,-
傣利档,2022-11-30 1:15,37.226333,126.156556,297,-,-,-,-,-,-,2.9,辑合辑,284,-1.5,1029.2,-
傣利档,2022-11-30 1:16,37.226333,126.156556,295,-,-,-,-,-,-,3.2,合合辑,329,-1.4,1029.5,-
傣利档,2022-11-30 1:17,37.226333,126.156556,295,-,-,-,-,-,-,1.5,辑,276,-1.4,1029.4,-
傣利档,2022-11-30 1:18,37.226333,126.156556,293,-,-,-,-,-,-,2.3,合合辑,338,-1.4,1029.3,-
傣利档,2022-11-30 1:19,37.226333,126.156556,292,-,-,-,-,-,-,4.5,合合悼,24,-1.5,1029.1,-
傣利档,2022-11-30 1:20,37.226333,126.156556,291,-,-,-,-,-,-,6.7,合辑,325,-1.5,1028.9,-
傣利档,2022-11-30 1:21,37.226333,126.156556,289,-,-,-,-,-,-,3.5,合辑,304,-1.5,1029,-
傣利档,2022-11-30 1:22,37.226333,126.156556,286,-,-,-,-,-,-,5.3,辑合辑,292,-1.6,1028.9,-
傣利档,2022-11-30 1:23,37.226333,126.156556,284,-,-,-,-,-,-,2.8,合合辑,333,-1.6,1029,-
傣利档,2022-11-30 1:24,37.226333,126.156556,282,-,-,-,-,-,-,3.3,合辑,316,-1.6,1029,-
傣利档,2022-11-30 1:25,37.226333,126.156556,283,-,-,-,-,-,-,5.5,合合辑,336,-1.6,1029.2,-
傣利档,2022-11-30 1:26,37.226333,126.156556,281,-,-,-,-,-,-,7.3,合辑,312,-1.6,1029.2,-
傣利档,2022-11-30 1:27,37.226333,126.156556,278,-,-,-,-,-,-,5.4,辑合辑,298,-1.6,1029,-
傣利档,2022-11-30 1:28,37.226333,126.156556,276,-,-,-,-,-,-,3.6,辑合辑,289,-1.7,1029,-
傣利档,2022-11-30 1:29,37.226333,126.156556,273,-,-,-,-,-,-,2.9,辑合辑,291,-1.7,1029.1,-
傣利档,2022-11-30 1:30,37.226333,126.156556,270,-,-,-,-,-,-,5.9,合,349,-1.6,1029.1,-
傣利档,2022-11-30 1:31,37.226333,126.156556,270,-,-,-,-,-,-,4,合,349,-1.6,1029.3,-
傣利档,2022-11-30 1:32,37.226333,126.156556,270,-,-,-,-,-,-,2.2,合辑,324,-1.6,1029.2,-
傣利档,2022-11-30 1:33,37.226333,126.156556,271,-,-,-,-,-,-,1.7,辑,279,-1.6,1029.1,-
傣利档,2022-11-30 1:34,37.226333,126.156556,269,-,-,-,-,-,-,4.3,辑,263,-1.6,1029.2,-
傣利档,2022-11-30 1:35,37.226333,126.156556,267,-,-,-,-,-,-,4.8,合辑,323,-1.7,1029.1,-
傣利档,2022-11-30 1:36,37.226333,126.156556,264,-,-,-,-,-,-,3.7,辑合辑,297,-1.7,1029.2,-
傣利档,2022-11-30 1:37,37.226333,126.156556,263,-,-,-,-,-,-,4.2,合合辑,330,-1.7,1029.3,-
傣利档,2022-11-30 1:38,37.226333,126.156556,262,-,-,-,-,-,-,4.4,合,358,-1.7,1029.3,-
傣利档,2022-11-30 1:39,37.226333,126.156556,261,-,-,-,-,-,-,3,辑合辑,289,-1.7,1029.3,-
傣利档,2022-11-30 1:40,37.226333,126.156556,261,-,-,-,-,-,-,5.2,辑合辑,291,-1.7,1029.2,-
傣利档,2022-11-30 1:41,37.226333,126.156556,261,-,-,-,-,-,-,4.9,辑合辑,284,-1.7,1029.1,-
傣利档,2022-11-30 1:42,37.226333,126.156556,257,-,-,-,-,-,-,4.4,辑合辑,284,-1.7,1029.3,-
傣利档,2022-11-30 1:43,37.226333,126.156556,255,-,-,-,-,-,-,3.1,辑合辑,297,-1.8,1029.3,-
傣利档,2022-11-30 1:44,37.226333,126.156556,254,-,-,-,-,-,-,5.6,辑合辑,294,-1.7,1029.4,-
傣利档,2022-11-30 1:45,37.226333,126.156556,251,-,-,-,-,-,-,4.4,辑合辑,296,-1.7,1029.5,-
傣利档,2022-11-30 1:46,37.226333,126.156556,250,-,-,-,-,-,-,5.4,辑合辑,302,-1.7,1029.5,-
傣利档,2022-11-30 1:47,37.226333,126.156556,248,-,-,-,-,-,-,2.5,合辑,315,-1.7,1029.4,-
傣利档,2022-11-30 1:48,37.226333,126.156556,246,-,-,-,-,-,-,2.6,辑合辑,292,-1.7,1029.5,-
傣利档,2022-11-30 1:49,37.226333,126.156556,244,-,-,-,-,-,-,2.2,辑合辑,293,-1.7,1029.4,-
傣利档,2022-11-30 1:50,37.226333,126.156556,244,-,-,-,-,-,-,3.1,合辑,307,-1.7,1029.7,-
傣利档,2022-11-30 1:51,37.226333,126.156556,244,-,-,-,-,-,-,4,辑合辑,290,-1.7,1029.6,-
傣利档,2022-11-30 1:52,37.226333,126.156556,241,-,-,-,-,-,-,4.1,辑,280,-1.7,1029.5,-
傣利档,2022-11-30 1:53,37.226333,126.156556,239,-,-,-,-,-,-,7.9,辑合辑,302,-1.7,1029.6,-
傣利档,2022-11-30 1:54,37.226333,126.156556,234,-,-,-,-,-,-,4.4,辑合辑,291,-1.8,1029.6,-
傣利档,2022-11-30 1:55,37.226333,126.156556,234,-,-,-,-,-,-,2.9,辑,259,-1.8,1029.6,-
傣利档,2022-11-30 1:56,37.226333,126.156556,236,-,-,-,-,-,-,3.9,辑合辑,303,-1.8,1029.8,-
傣利档,2022-11-30 1:57,37.226333,126.156556,235,-,-,-,-,-,-,4.3,合,0,-1.8,1029.6,-
傣利档,2022-11-30 1:58,37.226333,126.156556,232,-,-,-,-,-,-,3.7,辑合辑,301,-1.8,1029.7,-
傣利档,2022-11-30 1:59,37.226333,126.156556,231,-,-,-,-,-,-,5.5,辑合辑,284,-1.8,1029.6,-
傣利档,2022-11-30 2:00,37.226333,126.156556,228,-,-,-,-,-,-,3.6,合辑,312,-1.8,1029.6,-
傣利档,2022-11-30 2:01,37.226333,126.156556,224,-,-,-,-,-,-,2.8,合辑,325,-1.8,1029.8,-
傣利档,2022-11-30 2:02,37.226333,126.156556,224,-,-,-,-,-,-,3.4,辑合辑,296,-1.8,1029.6,-
傣利档,2022-11-30 2:03,37.226333,126.156556,224,-,-,-,-,-,-,3.7,辑,281,-1.9,1029.6,-
傣利档,2022-11-30 2:04,37.226333,126.156556,224,-,-,-,-,-,-,5.6,合辑,326,-1.9,1029.6,-
傣利档,2022-11-30 2:05,37.226333,126.156556,223,-,-,-,-,-,-,2.8,辑合辑,283,-1.9,1029.5,-
傣利档,2022-11-30 2:06,37.226333,126.156556,222,-,-,-,-,-,-,2.1,辑合辑,295,-1.9,1029.6,-
傣利档,2022-11-30 2:07,37.226333,126.156556,222,-,-,-,-,-,-,5.4,合,5,-1.9,1029.6,-
傣利档,2022-11-30 2:08,37.226333,126.156556,221,-,-,-,-,-,-,3.1,合辑,326,-1.9,1029.6,-
傣利档,2022-11-30 2:09,37.226333,126.156556,221,-,-,-,-,-,-,4.8,辑合辑,289,-1.9,1029.5,-
傣利档,2022-11-30 2:10,37.226333,126.156556,222,-,-,-,-,-,-,4.3,合辑,312,-1.9,1029.5,-
傣利档,2022-11-30 2:11,37.226333,126.156556,220,-,-,-,-,-,-,4.6,合辑,308,-1.9,1029.6,-
傣利档,2022-11-30 2:12,37.226333,126.156556,217,-,-,-,-,-,-,5.1,合辑,312,-2,1029.4,-
傣利档,2022-11-30 2:13,37.226333,126.156556,218,-,-,-,-,-,-,4.5,辑合辑,287,-2.1,1029.6,-
傣利档,2022-11-30 2:14,37.226333,126.156556,216,-,-,-,-,-,-,3.4,辑合辑,301,-2.1,1029.9,-
傣利档,2022-11-30 2:15,37.226333,126.156556,215,-,-,-,-,-,-,3.3,辑合辑,286,-2.1,1029.7,-
傣利档,2022-11-30 2:16,37.226333,126.156556,216,-,-,-,-,-,-,3.2,合合辑,329,-2.1,1029.7,-
傣利档,2022-11-30 2:17,37.226333,126.156556,214,-,-,-,-,-,-,3.1,辑合辑,298,-2,1029.7,-
傣利档,2022-11-30 2:18,37.226333,126.156556,211,-,-,-,-,-,-,2.1,辑,272,-2,1029.7,-
傣利档,2022-11-30 2:19,37.226333,126.156556,208,-,-,-,-,-,-,3.1,辑巢辑,245,-2,1029.6,-
傣利档,2022-11-30 2:20,37.226333,126.156556,204,-,-,-,-,-,-,5,辑合辑,286,-1.9,1029.6,-
傣利档,2022-11-30 2:21,37.226333,126.156556,201,-,-,-,-,-,-,5.4,合合辑,333,-1.9,1029.7,-
傣利档,2022-11-30 2:22,37.226333,126.156556,202,-,-,-,-,-,-,4.7,辑合辑,298,-1.9,1029.6,-
傣利档,2022-11-30 2:23,37.226333,126.156556,201,-,-,-,-,-,-,7.4,合合辑,335,-1.9,1029.9,-
傣利档,2022-11-30 2:24,37.226333,126.156556,200,-,-,-,-,-,-,4.1,合辑,326,-1.9,1029.8,-
傣利档,2022-11-30 2:25,37.226333,126.156556,200,-,-,-,-,-,-,1.3,辑,263,-2,1029.7,-
傣利档,2022-11-30 2:26,37.226333,126.156556,203,-,-,-,-,-,-,5,辑合辑,298,-2,1029.7,-
傣利档,2022-11-30 2:27,37.226333,126.156556,201,-,-,-,-,-,-,3.8,辑合辑,286,-2,1029.6,-
傣利档,2022-11-30 2:28,37.226333,126.156556,198,-,-,-,-,-,-,2.6,合合辑,341,-2.1,1029.7,-
傣利档,2022-11-30 2:29,37.226333,126.156556,198,-,-,-,-,-,-,8.2,合辑,322,-2.1,1029.6,-
傣利档,2022-11-30 2:30,37.226333,126.156556,198,-,-,-,-,-,-,5.7,合合辑,343,-2.1,1029.7,-
傣利档,2022-11-30 2:31,37.226333,126.156556,197,-,-,-,-,-,-,3.9,合辑,320,-2.1,1029.6,-
傣利档,2022-11-30 2:32,37.226333,126.156556,196,-,-,-,-,-,-,3.3,合合辑,327,-2,1029.6,-
傣利档,2022-11-30 2:33,37.226333,126.156556,196,-,-,-,-,-,-,6.7,合合辑,336,-2,1029.6,-
傣利档,2022-11-30 2:34,37.226333,126.156556,197,-,-,-,-,-,-,2.2,辑,274,-2,1029.6,-
傣利档,2022-11-30 2:35,37.226333,126.156556,195,-,-,-,-,-,-,3.2,合辑,309,-1.9,1029.7,-
傣利档,2022-11-30 2:36,37.226333,126.156556,194,-,-,-,-,-,-,5.6,辑,281,-1.9,1029.6,-
傣利档,2022-11-30 2:37,37.226333,126.156556,193,-,-,-,-,-,-,2.8,合合辑,329,-2,1029.7,-
傣利档,2022-11-30 2:38,37.226333,126.156556,190,-,-,-,-,-,-,3.7,辑合辑,301,-2,1029.7,-
傣利档,2022-11-30 2:39,37.226333,126.156556,190,-,-,-,-,-,-,3.3,辑合辑,295,-1.9,1029.6,-
傣利档,2022-11-30 2:40,37.226333,126.156556,191,-,-,-,-,-,-,3.4,合辑,314,-2,1029.8,-
傣利档,2022-11-30 2:41,37.226333,126.156556,190,-,-,-,-,-,-,2,辑巢辑,242,-2,1029.7,-
傣利档,2022-11-30 2:42,37.226333,126.156556,190,-,-,-,-,-,-,3.7,辑,279,-2,1029.7,-
傣利档,2022-11-30 2:43,37.226333,126.156556,190,-,-,-,-,-,-,3.8,辑合辑,295,-2,1029.9,-
傣利档,2022-11-30 2:44,37.226333,126.156556,188,-,-,-,-,-,-,4.6,合合辑,337,-2.1,1029.9,-
傣利档,2022-11-30 2:45,37.226333,126.156556,186,-,-,-,-,-,-,2.8,合合辑,339,-2.1,1030,-
傣利档,2022-11-30 2:46,37.226333,126.156556,185,-,-,-,-,-,-,2,辑,263,-2.1,1029.8,-
傣利档,2022-11-30 2:47,37.226333,126.156556,184,-,-,-,-,-,-,4.9,合合辑,329,-2.1,1030,-
傣利档,2022-11-30 2:48,37.226333,126.156556,182,-,-,-,-,-,-,5,合合辑,341,-2.1,1029.9,-
傣利档,2022-11-30 2:49,37.226333,126.156556,181,-,-,-,-,-,-,3.9,合,355,-2.2,1029.7,-
傣利档,2022-11-30 2:50,37.226333,126.156556,180,-,-,-,-,-,-,5.3,合辑,323,-2.2,1029.8,-
傣利档,2022-11-30 2:51,37.226333,126.156556,180,-,-,-,-,-,-,3.5,辑合辑,291,-2.2,1029.8,-
傣利档,2022-11-30 2:52,37.226333,126.156556,182,-,-,-,-,-,-,3.3,辑,267,-2.2,1029.8,-
傣利档,2022-11-30 2:53,37.226333,126.156556,184,-,-,-,-,-,-,5.3,合合辑,335,-2.2,1030,-
傣利档,2022-11-30 2:54,37.226333,126.156556,183,-,-,-,-,-,-,5.5,合辑,320,-2.2,1029.9,-
傣利档,2022-11-30 2:55,37.226333,126.156556,184,-,-,-,-,-,-,3.6,辑合辑,282,-2.3,1029.7,-
傣利档,2022-11-30 2:56,37.226333,126.156556,187,-,-,-,-,-,-,6.3,辑合辑,290,-2.3,1029.6,-
傣利档,2022-11-30 2:57,37.226333,126.156556,184,-,-,-,-,-,-,4.6,合辑,309,-2.3,1030,-
傣利档,2022-11-30 2:58,37.226333,126.156556,182,-,-,-,-,-,-,4.8,辑,281,-2.3,1030,-
傣利档,2022-11-30 2:59,37.226333,126.156556,182,-,-,-,-,-,-,4,合辑,318,-2.2,1030.1,-
傣利档,2022-11-30 3:00,37.226333,126.156556,180,-,-,-,-,-,-,6,合合辑,335,-2.3,1030,-
傣利档,2022-11-30 3:01,37.226333,126.156556,178,-,-,-,-,-,-,4.3,合合辑,328,-2.3,1029.7,-
傣利档,2022-11-30 3:02,37.226333,126.156556,178,-,-,-,-,-,-,4,辑,273,-2.3,1029.9,-
傣利档,2022-11-30 3:03,37.226333,126.156556,176,-,-,-,-,-,-,1.8,巢辑,232,-2.3,1029.7,-
傣利档,2022-11-30 3:04,37.226333,126.156556,177,-,-,-,-,-,-,6.7,合辑,315,-2.3,1029.9,-
傣利档,2022-11-30 3:05,37.226333,126.156556,176,-,-,-,-,-,-,4.1,合辑,311,-2.3,1029.8,-
傣利档,2022-11-30 3:06,37.226333,126.156556,175,-,-,-,-,-,-,8.3,合辑,323,-2.3,1030,-
傣利档,2022-11-30 3:07,37.226333,126.156556,174,-,-,-,-,-,-,5.5,合合辑,343,-2.4,1029.9,-
傣利档,2022-11-30 3:08,37.226333,126.156556,172,-,-,-,-,-,-,3.6,辑合辑,283,-2.4,1029.8,-
傣利档,2022-11-30 3:09,37.226333,126.156556,171,-,-,-,-,-,-,4,合合辑,334,-2.4,1030,-
傣利档,2022-11-30 3:10,37.226333,126.156556,174,-,-,-,-,-,-,4.8,辑,275,-2.3,1029.8,-
傣利档,2022-11-30 3:11,37.226333,126.156556,174,-,-,-,-,-,-,4.7,辑合辑,287,-2.3,1029.8,-
傣利档,2022-11-30 3:12,37.226333,126.156556,175,-,-,-,-,-,-,5.9,辑合辑,297,-2.3,1030,-
傣利档,2022-11-30 3:13,37.226333,126.156556,175,-,-,-,-,-,-,5.5,合合辑,331,-2.4,1030.2,-
傣利档,2022-11-30 3:14,37.226333,126.156556,176,-,-,-,-,-,-,6.8,合合辑,347,-2.3,1030.3,-
傣利档,2022-11-30 3:15,37.226333,126.156556,175,-,-,-,-,-,-,5.7,合合辑,338,-2.3,1030.2,-
傣利档,2022-11-30 3:16,37.226333,126.156556,176,-,-,-,-,-,-,7,合辑,313,-2.3,1030,-
傣利档,2022-11-30 3:17,37.226333,126.156556,177,-,-,-,-,-,-,3.6,合合辑,341,-2.4,1030.1,-
傣利档,2022-11-30 3:18,37.226333,126.156556,177,-,-,-,-,-,-,5.7,合合辑,344,-2.3,1030.1,-
傣利档,2022-11-30 3:19,37.226333,126.156556,175,-,-,-,-,-,-,5.8,合合辑,338,-2.3,1030.3,-
傣利档,2022-11-30 3:20,37.226333,126.156556,174,-,-,-,-,-,-,4.7,辑合辑,303,-2.3,1030.1,-
傣利档,2022-11-30 3:21,37.226333,126.156556,173,-,-,-,-,-,-,1.5,辑合辑,293,-2.3,1030.1,-
傣利档,2022-11-30 3:22,37.226333,126.156556,172,-,-,-,-,-,-,6.2,合辑,309,-2.3,1030.2,-
傣利档,2022-11-30 3:23,37.226333,126.156556,171,-,-,-,-,-,-,3.9,辑合辑,289,-2.4,1030,-
傣利档,2022-11-30 3:24,37.226333,126.156556,170,-,-,-,-,-,-,3.6,合合辑,345,-2.4,1030.3,-
傣利档,2022-11-30 3:25,37.226333,126.156556,171,-,-,-,-,-,-,1.5,巢,184,-2.4,1030.2,-
傣利档,2022-11-30 3:26,37.226333,126.156556,171,-,-,-,-,-,-,1.6,巢巢辑,193,-2.3,1030,-
傣利档,2022-11-30 3:27,37.226333,126.156556,170,-,-,-,-,-,-,3.1,合辑,317,-2.2,1030.1,-
傣利档,2022-11-30 3:28,37.226333,126.156556,170,-,-,-,-,-,-,2.8,合合辑,329,-2.2,1030.2,-
傣利档,2022-11-30 3:29,37.226333,126.156556,169,-,-,-,-,-,-,3.9,合辑,316,-2.3,1030.2,-
傣利档,2022-11-30 3:30,37.226333,126.156556,170,-,-,-,-,-,-,3.9,合辑,306,-2.3,1030.2,-
傣利档,2022-11-30 3:31,37.226333,126.156556,172,-,-,-,-,-,-,3.1,合辑,322,-2.4,1030.2,-
傣利档,2022-11-30 3:32,37.226333,126.156556,169,-,-,-,-,-,-,6,合辑,309,-2.4,1030.2,-
傣利档,2022-11-30 3:33,37.226333,126.156556,168,-,-,-,-,-,-,7,辑合辑,296,-2.4,1030.1,-
傣利档,2022-11-30 3:34,37.226333,126.156556,169,-,-,-,-,-,-,5.8,辑合辑,297,-2.5,1030.3,-
傣利档,2022-11-30 3:35,37.226333,126.156556,168,-,-,-,-,-,-,5.2,辑合辑,295,-2.5,1030.3,-
傣利档,2022-11-30 3:36,37.226333,126.156556,168,-,-,-,-,-,-,6.8,合辑,309,-2.5,1030.3,-
傣利档,2022-11-30 3:37,37.226333,126.156556,170,-,-,-,-,-,-,6,辑合辑,287,-2.5,1030,-
傣利档,2022-11-30 3:38,37.226333,126.156556,171,-,-,-,-,-,-,8.2,辑合辑,292,-2.5,1030.1,-
傣利档,2022-11-30 3:39,37.226333,126.156556,171,-,-,-,-,-,-,5.6,合辑,322,-2.6,1030.4,-
