관측소명,관측시간,위도,경도,조위(cm),수온(℃),염분(PSU),유의파고(m),유의파주기(sec),최대파고(m),최대파주기(sec),풍속(m/s),,풍향(deg),기온(℃),기압(hPa),시정(m)
안산,2022-12-01 0:25,37.1922,126.6472,530,9.1,29.8,-,-,-,-,2.4,북,356,-5.3,1032.8,-
안산,2022-12-01 0:26,37.1922,126.6472,528,9.1,29.8,-,-,-,-,3.3,북,358,-5.3,1032.9,-
안산,2022-12-01 0:27,37.1922,126.6472,527,9.1,29.8,-,-,-,-,2.7,북,5,-5.3,1032.8,-
안산,2022-12-01 0:28,37.1922,126.6472,526,9.1,29.8,-,-,-,-,1.9,북,4,-5.3,1032.9,-
안산,2022-12-01 0:29,37.1922,126.6472,524,9.1,29.8,-,-,-,-,2.6,북북서,348,-5.3,1033,-
안산,2022-12-01 0:30,37.1922,126.6472,523,9.1,29.8,-,-,-,-,0.9,북,355,-5.3,1033,-
안산,2022-12-01 0:31,37.1922,126.6472,521,9.1,29.8,-,-,-,-,3.5,북,0,-5.3,1032.9,-
안산,2022-12-01 0:32,37.1922,126.6472,520,9.1,29.8,-,-,-,-,1.5,북북서,346,-5.3,1032.9,-
안산,2022-12-01 0:33,37.1922,126.6472,518,9.1,29.8,-,-,-,-,2.4,북,0,-5.3,1032.8,-
안산,2022-12-01 0:34,37.1922,126.6472,516,9.1,29.8,-,-,-,-,2.6,북,356,-5.3,1032.7,-
안산,2022-12-01 0:35,37.1922,126.6472,515,9.1,29.8,-,-,-,-,2.3,북,4,-5.3,1032.7,-
안산,2022-12-01 0:36,37.1922,126.6472,513,9.1,29.8,-,-,-,-,2.4,북,352,-5.3,1032.8,-
안산,2022-12-01 0:37,37.1922,126.6472,512,9.1,29.8,-,-,-,-,3.2,북,355,-5.3,1032.8,-
안산,2022-12-01 0:38,37.1922,126.6472,510,9.1,29.8,-,-,-,-,1.8,북,3,-5.3,1032.9,-
안산,2022-12-01 0:39,37.1922,126.6472,508,9.1,29.8,-,-,-,-,2.6,북,358,-5.4,1032.9,-
안산,2022-12-01 0:40,37.1922,126.6472,507,9.1,29.8,-,-,-,-,3.8,북,354,-5.4,1033,-
안산,2022-12-01 0:41,37.1922,126.6472,505,9.1,29.8,-,-,-,-,2.5,북,357,-5.4,1033,-
안산,2022-12-01 0:42,37.1922,126.6472,504,9.1,29.8,-,-,-,-,3,북,1,-5.5,1033,-
안산,2022-12-01 0:43,37.1922,126.6472,502,9.1,29.8,-,-,-,-,2.4,북,356,-5.5,1033.1,-
안산,2022-12-01 0:44,37.1922,126.6472,500,9.1,29.8,-,-,-,-,1.7,북,356,-5.5,1033.1,-
안산,2022-12-01 0:45,37.1922,126.6472,498,9.1,29.8,-,-,-,-,3.7,북,349,-5.5,1033.1,-
안산,2022-12-01 0:46,37.1922,126.6472,498,9.1,29.8,-,-,-,-,1.3,북,350,-5.5,1033.2,-
안산,2022-12-01 0:47,37.1922,126.6472,496,9.1,29.8,-,-,-,-,3,북,6,-5.5,1033.1,-
안산,2022-12-01 0:48,37.1922,126.6472,493,9.1,29.8,-,-,-,-,2.3,북,0,-5.5,1033.2,-
안산,2022-12-01 0:49,37.1922,126.6472,492,9.1,29.8,-,-,-,-,2,북북서,344,-5.5,1033.1,-
안산,2022-12-01 0:50,37.1922,126.6472,491,9.1,29.8,-,-,-,-,2.9,북,0,-5.5,1033.1,-
안산,2022-12-01 0:51,37.1922,126.6472,489,9.1,29.8,-,-,-,-,2.4,북,2,-5.5,1033.1,-
안산,2022-12-01 0:52,37.1922,126.6472,488,9.1,29.8,-,-,-,-,2.3,북북서,347,-5.4,1033.1,-
안산,2022-12-01 0:53,37.1922,126.6472,487,9.1,29.8,-,-,-,-,1.8,북,10,-5.4,1033.1,-
안산,2022-12-01 0:54,37.1922,126.6472,485,9.1,29.8,-,-,-,-,1.6,북,354,-5.4,1033.1,-
안산,2022-12-01 0:55,37.1922,126.6472,484,9.1,29.8,-,-,-,-,1.9,북,4,-5.4,1033.1,-
안산,2022-12-01 0:56,37.1922,126.6472,482,9.1,29.8,-,-,-,-,2.1,북,359,-5.3,1033.2,-
안산,2022-12-01 0:57,37.1922,126.6472,480,9.1,29.8,-,-,-,-,1.6,북,355,-5.3,1033.2,-
안산,2022-12-01 0:58,37.1922,126.6472,479,9.1,29.8,-,-,-,-,3.1,북,352,-5.3,1033.1,-
안산,2022-12-01 0:59,37.1922,126.6472,477,9.1,29.8,-,-,-,-,2.2,북,2,-5.3,1033.2,-
안산,2022-12-01 1:00,37.1922,126.6472,476,9.1,29.8,-,-,-,-,3.4,북,356,-5.4,1033.2,-
안산,2022-12-01 1:01,37.1922,126.6472,474,9.1,29.8,-,-,-,-,3.4,북,352,-5.4,1033.1,-
안산,2022-12-01 1:02,37.1922,126.6472,473,9.1,29.8,-,-,-,-,1.5,북북서,348,-5.5,1033.2,-
안산,2022-12-01 1:03,37.1922,126.6472,472,9.1,29.8,-,-,-,-,1.5,북,0,-5.4,1033.1,-
안산,2022-12-01 1:04,37.1922,126.6472,470,9.1,29.8,-,-,-,-,3.1,북,359,-5.4,1033,-
안산,2022-12-01 1:05,37.1922,126.6472,469,9.1,29.8,-,-,-,-,1.4,북,3,-5.4,1033,-
안산,2022-12-01 1:06,37.1922,126.6472,468,9.1,29.8,-,-,-,-,1.4,북,359,-5.4,1033,-
안산,2022-12-01 1:07,37.1922,126.6472,466,9.1,29.8,-,-,-,-,1.4,북,8,-5.4,1033,-
안산,2022-12-01 1:08,37.1922,126.6472,465,9.1,29.8,-,-,-,-,1.9,북,357,-5.4,1033,-
안산,2022-12-01 1:09,37.1922,126.6472,463,9.1,29.8,-,-,-,-,2.1,북,7,-5.4,1033,-
안산,2022-12-01 1:10,37.1922,126.6472,462,9.1,29.8,-,-,-,-,2.1,북,3,-5.4,1033,-
안산,2022-12-01 1:11,37.1922,126.6472,460,9.1,29.8,-,-,-,-,3.1,북,349,-5.4,1032.8,-
안산,2022-12-01 1:12,37.1922,126.6472,458,9.1,29.8,-,-,-,-,2.2,북,357,-5.4,1033,-
안산,2022-12-01 1:13,37.1922,126.6472,457,9.1,29.8,-,-,-,-,2.3,북,3,-5.4,1032.9,-
안산,2022-12-01 1:14,37.1922,126.6472,455,9.1,29.8,-,-,-,-,1.9,북,354,-5.4,1032.9,-
안산,2022-12-01 1:15,37.1922,126.6472,454,9.1,29.8,-,-,-,-,2.4,북,2,-5.4,1032.9,-
안산,2022-12-01 1:16,37.1922,126.6472,452,9.1,29.8,-,-,-,-,1.6,북,352,-5.4,1032.8,-
안산,2022-12-01 1:17,37.1922,126.6472,451,9.1,29.8,-,-,-,-,1.1,북북동,13,-5.4,1032.9,-
안산,2022-12-01 1:18,37.1922,126.6472,449,9.1,29.8,-,-,-,-,2,북,355,-5.3,1032.9,-
안산,2022-12-01 1:19,37.1922,126.6472,448,9.1,29.8,-,-,-,-,2.5,북,4,-5.3,1032.8,-
안산,2022-12-01 1:20,37.1922,126.6472,446,9.1,29.8,-,-,-,-,1.1,북,355,-5.3,1032.8,-
안산,2022-12-01 1:21,37.1922,126.6472,445,9.1,29.8,-,-,-,-,0.5,북,359,-5.3,1032.8,-
안산,2022-12-01 1:22,37.1922,126.6472,443,9.1,29.8,-,-,-,-,0.9,북북서,329,-5.3,1032.7,-
안산,2022-12-01 1:23,37.1922,126.6472,442,9.1,29.8,-,-,-,-,1.2,북북서,342,-5.2,1032.7,-
안산,2022-12-01 1:24,37.1922,126.6472,440,9.1,29.8,-,-,-,-,0.8,북서,324,-5.2,1032.7,-
안산,2022-12-01 1:25,37.1922,126.6472,439,9.1,29.8,-,-,-,-,0.6,북,2,-5.2,1032.7,-
안산,2022-12-01 1:26,37.1922,126.6472,437,9.1,29.8,-,-,-,-,0.6,동,83,-5.2,1032.7,-
안산,2022-12-01 1:27,37.1922,126.6472,436,9.1,29.8,-,-,-,-,0.2,서,262,-5.2,1032.8,-
안산,2022-12-01 1:28,37.1922,126.6472,434,9.1,29.8,-,-,-,-,0.4,북서,316,-5.2,1032.8,-
안산,2022-12-01 1:29,37.1922,126.6472,433,9.1,29.8,-,-,-,-,0.4,북,8,-5.2,1032.9,-
안산,2022-12-01 1:30,37.1922,126.6472,431,9.1,29.8,-,-,-,-,0.6,북북동,30,-5.2,1032.9,-
안산,2022-12-01 1:31,37.1922,126.6472,430,9.1,29.8,-,-,-,-,0.8,북북동,14,-5.2,1032.9,-
안산,2022-12-01 1:32,37.1922,126.6472,428,9.1,29.8,-,-,-,-,0.4,남,176,-5.2,1032.9,-
안산,2022-12-01 1:33,37.1922,126.6472,427,9.1,29.8,-,-,-,-,0.4,서북서,294,-5.2,1032.9,-
안산,2022-12-01 1:34,37.1922,126.6472,425,9.1,29.8,-,-,-,-,0.7,북,350,-5.2,1033,-
안산,2022-12-01 1:35,37.1922,126.6472,424,9.1,29.8,-,-,-,-,1,북북서,348,-5.2,1033,-
안산,2022-12-01 1:36,37.1922,126.6472,422,9.1,29.8,-,-,-,-,1.1,북,0,-5.2,1033,-
안산,2022-12-01 1:37,37.1922,126.6472,421,9.1,29.8,-,-,-,-,1.8,북,0,-5.2,1033,-
안산,2022-12-01 1:38,37.1922,126.6472,419,9.1,29.8,-,-,-,-,1.4,북,357,-5.3,1033,-
안산,2022-12-01 1:39,37.1922,126.6472,418,9.1,29.8,-,-,-,-,2.7,북,2,-5.3,1032.9,-
안산,2022-12-01 1:40,37.1922,126.6472,416,9.1,29.8,-,-,-,-,2.5,북,8,-5.3,1032.9,-
안산,2022-12-01 1:41,37.1922,126.6472,414,9.1,29.8,-,-,-,-,1,북,3,-5.3,1032.8,-
안산,2022-12-01 1:42,37.1922,126.6472,413,9.1,29.8,-,-,-,-,2.5,북,1,-5.3,1032.8,-
안산,2022-12-01 1:43,37.1922,126.6472,411,9.1,29.8,-,-,-,-,1.9,북,0,-5.3,1032.9,-
안산,2022-12-01 1:44,37.1922,126.6472,409,9.1,29.8,-,-,-,-,2.5,북북동,16,-5.3,1032.9,-
안산,2022-12-01 1:45,37.1922,126.6472,408,9.1,29.8,-,-,-,-,1.7,북,353,-5.3,1032.9,-
안산,2022-12-01 1:46,37.1922,126.6472,406,9.1,29.8,-,-,-,-,2.1,북,3,-5.3,1032.9,-
안산,2022-12-01 1:47,37.1922,126.6472,404,9.1,29.8,-,-,-,-,1.9,북북동,14,-5.2,1033,-
안산,2022-12-01 1:48,37.1922,126.6472,403,9.1,29.8,-,-,-,-,2.3,북,1,-5.2,1033,-
안산,2022-12-01 1:49,37.1922,126.6472,401,9.1,29.8,-,-,-,-,2.3,북,359,-5.2,1032.9,-
안산,2022-12-01 1:50,37.1922,126.6472,399,9.1,29.8,-,-,-,-,2.2,북,5,-5.3,1033,-
안산,2022-12-01 1:51,37.1922,126.6472,398,9.1,29.8,-,-,-,-,2.7,북,354,-5.3,1032.8,-
안산,2022-12-01 1:52,37.1922,126.6472,396,9.1,29.8,-,-,-,-,3.4,북,352,-5.3,1032.9,-
안산,2022-12-01 1:53,37.1922,126.6472,394,9.1,29.8,-,-,-,-,1.8,북,359,-5.4,1032.9,-
안산,2022-12-01 1:54,37.1922,126.6472,393,9.1,29.8,-,-,-,-,3.2,북,351,-5.4,1032.9,-
안산,2022-12-01 1:55,37.1922,126.6472,391,9.1,29.8,-,-,-,-,1.8,북,3,-5.4,1033,-
안산,2022-12-01 1:56,37.1922,126.6472,389,9.1,29.8,-,-,-,-,2.4,북,5,-5.4,1033,-
안산,2022-12-01 1:57,37.1922,126.6472,388,9.1,29.8,-,-,-,-,1.6,북,11,-5.4,1033,-
안산,2022-12-01 1:58,37.1922,126.6472,386,9.1,29.8,-,-,-,-,1.3,북,3,-5.4,1033,-
안산,2022-12-01 1:59,37.1922,126.6472,385,9.1,29.8,-,-,-,-,1.6,북북서,344,-5.4,1033,-
안산,2022-12-01 2:00,37.1922,126.6472,383,9.1,29.8,-,-,-,-,1.5,북,357,-5.4,1032.9,-
안산,2022-12-01 2:01,37.1922,126.6472,381,9.1,29.8,-,-,-,-,3,북,357,-5.4,1033,-
안산,2022-12-01 2:02,37.1922,126.6472,380,9.1,29.8,-,-,-,-,2.4,북,2,-5.4,1033.1,-
안산,2022-12-01 2:03,37.1922,126.6472,378,9.1,29.8,-,-,-,-,1.4,북,354,-5.4,1033,-
안산,2022-12-01 2:04,37.1922,126.6472,377,9.1,29.8,-,-,-,-,1.9,북,356,-5.5,1033,-
안산,2022-12-01 2:05,37.1922,126.6472,375,9.1,29.8,-,-,-,-,2.5,북,4,-5.5,1032.9,-
안산,2022-12-01 2:06,37.1922,126.6472,374,9.1,29.8,-,-,-,-,1.3,북북서,343,-5.4,1033,-
안산,2022-12-01 2:07,37.1922,126.6472,372,9.1,29.8,-,-,-,-,1.8,북,5,-5.4,1032.9,-
안산,2022-12-01 2:08,37.1922,126.6472,371,9.1,29.8,-,-,-,-,2.2,북,10,-5.4,1032.9,-
안산,2022-12-01 2:09,37.1922,126.6472,369,9.1,29.8,-,-,-,-,1.8,북,2,-5.4,1032.9,-
안산,2022-12-01 2:10,37.1922,126.6472,368,9.1,29.8,-,-,-,-,4.7,북,350,-5.4,1032.8,-
안산,2022-12-01 2:11,37.1922,126.6472,366,9.1,29.8,-,-,-,-,2.8,북,2,-5.4,1033,-
안산,2022-12-01 2:12,37.1922,126.6472,365,9.1,29.8,-,-,-,-,2.8,북,1,-5.5,1033,-
안산,2022-12-01 2:13,37.1922,126.6472,364,9.1,29.8,-,-,-,-,1.8,북,359,-5.5,1032.9,-
안산,2022-12-01 2:14,37.1922,126.6472,362,9.1,29.8,-,-,-,-,2.7,북,4,-5.5,1033,-
안산,2022-12-01 2:15,37.1922,126.6472,361,9.1,29.8,-,-,-,-,1.4,북,5,-5.5,1033,-
안산,2022-12-01 2:16,37.1922,126.6472,359,9.1,29.8,-,-,-,-,2.5,북,1,-5.4,1033,-
안산,2022-12-01 2:17,37.1922,126.6472,358,9.1,29.8,-,-,-,-,1.8,북,354,-5.4,1033,-
안산,2022-12-01 2:18,37.1922,126.6472,357,9.1,29.8,-,-,-,-,3,북,0,-5.4,1033,-
안산,2022-12-01 2:19,37.1922,126.6472,355,9.1,29.8,-,-,-,-,3,북,1,-5.5,1032.9,-
안산,2022-12-01 2:20,37.1922,126.6472,354,9.1,29.8,-,-,-,-,2.6,북,359,-5.5,1033,-
안산,2022-12-01 2:21,37.1922,126.6472,353,9.1,29.8,-,-,-,-,3.1,북,356,-5.6,1033,-
안산,2022-12-01 2:22,37.1922,126.6472,351,9,29.8,-,-,-,-,3.1,북,7,-5.6,1033,-
안산,2022-12-01 2:23,37.1922,126.6472,350,9,29.8,-,-,-,-,2.5,북,2,-5.6,1033,-
안산,2022-12-01 2:24,37.1922,126.6472,349,9,29.8,-,-,-,-,2.5,북,357,-5.6,1033,-
안산,2022-12-01 2:25,37.1922,126.6472,347,9,29.8,-,-,-,-,3.2,북,0,-5.6,1032.9,-
안산,2022-12-01 2:26,37.1922,126.6472,346,9.1,29.8,-,-,-,-,1.4,북,358,-5.6,1033,-
안산,2022-12-01 2:27,37.1922,126.6472,344,9.1,29.8,-,-,-,-,2.2,북북동,14,-5.6,1033,-
안산,2022-12-01 2:28,37.1922,126.6472,343,9.1,29.8,-,-,-,-,2.5,북,11,-5.6,1032.8,-
안산,2022-12-01 2:29,37.1922,126.6472,341,9.1,29.8,-,-,-,-,2.6,북,0,-5.6,1032.9,-
안산,2022-12-01 2:30,37.1922,126.6472,340,9.1,29.8,-,-,-,-,2.1,북,0,-5.6,1032.9,-
안산,2022-12-01 2:31,37.1922,126.6472,339,9.1,29.8,-,-,-,-,1.6,북,353,-5.6,1032.9,-
안산,2022-12-01 2:32,37.1922,126.6472,337,9.1,29.8,-,-,-,-,1.9,북,5,-5.6,1033,-
안산,2022-12-01 2:33,37.1922,126.6472,336,9.1,29.8,-,-,-,-,2.2,북,9,-5.6,1033,-
안산,2022-12-01 2:34,37.1922,126.6472,335,9.1,29.8,-,-,-,-,2.8,북,1,-5.6,1032.9,-
안산,2022-12-01 2:35,37.1922,126.6472,334,9.1,29.8,-,-,-,-,2.4,북북동,16,-5.6,1032.9,-
안산,2022-12-01 2:36,37.1922,126.6472,332,9.1,29.8,-,-,-,-,1.7,북,354,-5.6,1032.8,-
안산,2022-12-01 2:37,37.1922,126.6472,331,9.1,29.8,-,-,-,-,1.6,북,358,-5.6,1032.9,-
안산,2022-12-01 2:38,37.1922,126.6472,330,9.1,29.8,-,-,-,-,1.5,북북서,347,-5.6,1032.9,-
안산,2022-12-01 2:39,37.1922,126.6472,329,9.1,29.8,-,-,-,-,2.2,북,1,-5.6,1032.9,-
안산,2022-12-01 2:40,37.1922,126.6472,327,9.1,29.8,-,-,-,-,2.4,북,351,-5.6,1032.9,-
안산,2022-12-01 2:41,37.1922,126.6472,326,9.1,29.8,-,-,-,-,1.1,북북동,24,-5.6,1032.9,-
안산,2022-12-01 2:42,37.1922,126.6472,325,9.1,29.8,-,-,-,-,1.3,북,7,-5.6,1033,-
안산,2022-12-01 2:43,37.1922,126.6472,323,9.1,29.8,-,-,-,-,2.9,북,0,-5.6,1033,-
안산,2022-12-01 2:44,37.1922,126.6472,322,9.1,29.8,-,-,-,-,2.9,북,355,-5.6,1033,-
안산,2022-12-01 2:45,37.1922,126.6472,321,9.1,29.8,-,-,-,-,1.5,북,356,-5.6,1033,-
안산,2022-12-01 2:46,37.1922,126.6472,320,9.1,29.8,-,-,-,-,1.6,북,355,-5.6,1033,-
안산,2022-12-01 2:47,37.1922,126.6472,318,9.1,29.8,-,-,-,-,2.5,북,351,-5.6,1033,-
안산,2022-12-01 2:48,37.1922,126.6472,317,9.1,29.8,-,-,-,-,2.5,북북동,12,-5.6,1033,-
안산,2022-12-01 2:49,37.1922,126.6472,316,9.1,29.8,-,-,-,-,2.4,북,0,-5.6,1033,-
안산,2022-12-01 2:50,37.1922,126.6472,315,9.1,29.8,-,-,-,-,2.5,북,352,-5.6,1033,-
안산,2022-12-01 2:51,37.1922,126.6472,314,9.1,29.8,-,-,-,-,1.8,북,7,-5.7,1033.1,-
안산,2022-12-01 2:52,37.1922,126.6472,312,9.1,29.8,-,-,-,-,1.9,북,356,-5.6,1033.1,-
안산,2022-12-01 2:53,37.1922,126.6472,311,9.1,29.8,-,-,-,-,0.9,북북동,18,-5.7,1033.1,-
안산,2022-12-01 2:54,37.1922,126.6472,310,9.1,29.8,-,-,-,-,2.5,북,6,-5.7,1033.1,-
안산,2022-12-01 2:55,37.1922,126.6472,309,9.1,29.8,-,-,-,-,1.9,북북동,13,-5.7,1033,-
안산,2022-12-01 2:56,37.1922,126.6472,308,9.1,29.8,-,-,-,-,1.8,북북동,16,-5.7,1033.1,-
안산,2022-12-01 2:57,37.1922,126.6472,307,9.1,29.8,-,-,-,-,2,북,4,-5.7,1033.1,-
안산,2022-12-01 2:58,37.1922,126.6472,305,9.1,29.8,-,-,-,-,1.7,북,358,-5.7,1033.1,-
안산,2022-12-01 2:59,37.1922,126.6472,304,9.1,29.8,-,-,-,-,1.5,북,5,-5.7,1033.1,-
안산,2022-12-01 3:00,37.1922,126.6472,303,9.1,29.8,-,-,-,-,0.4,북,8,-5.8,1033.2,-
안산,2022-12-01 3:01,37.1922,126.6472,302,9.1,29.8,-,-,-,-,1.1,북북서,346,-5.7,1033.2,-
안산,2022-12-01 3:02,37.1922,126.6472,301,9.1,29.8,-,-,-,-,1.8,북,351,-5.7,1033.2,-
안산,2022-12-01 3:03,37.1922,126.6472,300,9.1,29.8,-,-,-,-,1.6,북북서,348,-5.8,1033.2,-
안산,2022-12-01 3:04,37.1922,126.6472,298,9.1,29.8,-,-,-,-,1.3,북,353,-5.8,1033.3,-
안산,2022-12-01 3:05,37.1922,126.6472,297,9.1,29.8,-,-,-,-,1.7,북,355,-5.8,1033.2,-
안산,2022-12-01 3:06,37.1922,126.6472,296,9.1,29.8,-,-,-,-,1.8,북북서,347,-5.8,1033.2,-
안산,2022-12-01 3:07,37.1922,126.6472,295,9.1,29.8,-,-,-,-,1.7,북,355,-5.8,1033.2,-
안산,2022-12-01 3:08,37.1922,126.6472,294,9.1,29.8,-,-,-,-,1.2,북,359,-5.8,1033.2,-
안산,2022-12-01 3:09,37.1922,126.6472,293,9.1,29.8,-,-,-,-,1.5,북,2,-5.9,1033.2,-
안산,2022-12-01 3:10,37.1922,126.6472,291,9.1,29.8,-,-,-,-,1.3,북북동,21,-5.9,1033.2,-
안산,2022-12-01 3:11,37.1922,126.6472,290,9.1,29.8,-,-,-,-,1,북,0,-5.9,1033.2,-
안산,2022-12-01 3:12,37.1922,126.6472,288,9.1,29.8,-,-,-,-,0.9,북,7,-5.9,1033.2,-
안산,2022-12-01 3:13,37.1922,126.6472,287,9.1,29.8,-,-,-,-,0.4,북,0,-5.8,1033.2,-
안산,2022-12-01 3:14,37.1922,126.6472,286,9.1,29.8,-,-,-,-,1.2,북,7,-5.8,1033.2,-
안산,2022-12-01 3:15,37.1922,126.6472,284,9.1,29.8,-,-,-,-,2.2,북,359,-5.8,1033.1,-
안산,2022-12-01 3:16,37.1922,126.6472,283,9.1,29.8,-,-,-,-,1.7,북,1,-5.9,1033.2,-
안산,2022-12-01 3:17,37.1922,126.6472,282,9.1,29.8,-,-,-,-,2.2,북,1,-5.9,1033.1,-
안산,2022-12-01 3:18,37.1922,126.6472,280,9.1,29.8,-,-,-,-,1.9,북,9,-5.9,1033.1,-
안산,2022-12-01 3:19,37.1922,126.6472,279,9.1,29.8,-,-,-,-,1.5,북,6,-5.9,1033.1,-
안산,2022-12-01 3:20,37.1922,126.6472,277,9.1,29.8,-,-,-,-,1.1,북북동,24,-5.9,1033,-
안산,2022-12-01 3:21,37.1922,126.6472,276,9.1,29.8,-,-,-,-,2.1,북,7,-5.9,1033,-
안산,2022-12-01 3:22,37.1922,126.6472,275,9.1,29.8,-,-,-,-,3.1,북,359,-5.9,1033,-
안산,2022-12-01 3:23,37.1922,126.6472,273,9.1,29.8,-,-,-,-,1.5,북,355,-5.9,1033,-
안산,2022-12-01 3:24,37.1922,126.6472,272,9.1,29.8,-,-,-,-,1.3,북,2,-5.9,1033,-
안산,2022-12-01 3:25,37.1922,126.6472,271,9.1,29.8,-,-,-,-,1.3,북,4,-5.9,1033,-
안산,2022-12-01 3:26,37.1922,126.6472,269,9.1,29.8,-,-,-,-,2,북,1,-5.9,1033,-
안산,2022-12-01 3:27,37.1922,126.6472,268,9.1,29.8,-,-,-,-,2.2,북,357,-5.9,1033,-
안산,2022-12-01 3:28,37.1922,126.6472,267,9.1,29.8,-,-,-,-,1.1,북,357,-5.9,1033,-
안산,2022-12-01 3:29,37.1922,126.6472,266,9.1,29.8,-,-,-,-,2.2,북,0,-5.9,1033,-
안산,2022-12-01 3:30,37.1922,126.6472,265,9.1,29.8,-,-,-,-,2.1,북,1,-5.9,1033.1,-
안산,2022-12-01 3:31,37.1922,126.6472,264,9.1,29.8,-,-,-,-,2.2,북,0,-5.9,1033.2,-
안산,2022-12-01 3:32,37.1922,126.6472,263,9.1,29.8,-,-,-,-,1.1,북,356,-5.9,1033.2,-
안산,2022-12-01 3:33,37.1922,126.6472,262,9.1,29.8,-,-,-,-,2.1,북,2,-5.9,1033.2,-
안산,2022-12-01 3:34,37.1922,126.6472,261,9.1,29.8,-,-,-,-,1.6,북,358,-5.9,1033.2,-
안산,2022-12-01 3:35,37.1922,126.6472,260,9.1,29.8,-,-,-,-,1.4,북,11,-5.9,1033.3,-
안산,2022-12-01 3:36,37.1922,126.6472,259,9.1,29.8,-,-,-,-,0.2,동,101,-5.9,1033.2,-
안산,2022-12-01 3:37,37.1922,126.6472,258,9.1,29.8,-,-,-,-,1.3,북,4,-5.9,1033.2,-
안산,2022-12-01 3:38,37.1922,126.6472,257,9.1,29.8,-,-,-,-,1.4,북,7,-5.9,1033.3,-
안산,2022-12-01 3:39,37.1922,126.6472,257,9.1,29.8,-,-,-,-,1.1,북,10,-5.9,1033.3,-
안산,2022-12-01 3:40,37.1922,126.6472,256,9.1,29.8,-,-,-,-,0.7,북북동,20,-5.9,1033.2,-
안산,2022-12-01 3:41,37.1922,126.6472,255,9.1,29.8,-,-,-,-,0.2,서,281,-5.8,1033.2,-
안산,2022-12-01 3:42,37.1922,126.6472,255,9.1,29.8,-,-,-,-,0.6,북,1,-5.8,1033.2,-
안산,2022-12-01 3:43,37.1922,126.6472,254,9.1,29.8,-,-,-,-,1.1,북북서,346,-5.9,1033.1,-
